"","movieTitle","score","regDate","wom"
"8438","빌리 엘리어트 뮤지컬 라이브",9,"2014-12-11","9.0명작을 라이브 공연으로! 원작영화를 좋아했던 이들에게도 감동, 원작영화를 보지 않은 이들에게도 호기심을 자극할 작품. 영화가 소년의 성장기이자 영국의 현실을 무겁게 그린다면 뮤지컬은 위트가 추가되었습니다.                    "
"5654","변호인",10,"2014-09-27","10.0부림사건의 정권이 아직도 이어오고 있다는 것에 소름이 돋고 그 무리들을 지지하는 **끼들이 이나라 국민의 50%가 넘는다는 것에 다시한번 소름이 돋는다.                    "
"1688","존 윅",8,"2015-02-09","8.0참 자식들 영화평이라고는...  이런 간단스토리에 이정도 액션이면 충분하지. 지들이 뭔 영화감독마냥, 니들이 뭐 평론가냐? 화끈한 총질 한방이면 돼. 영웅본색도 욕할 놈들이네. 독서나 좀 하고 영화봐라.                    "
"3731","아이언맨 3",9,"2013-05-06","9.0기대를 많이 했으니까 조금 걱정했었어요...근데 생각보다는 재미있어... 추천합니다                    "
"783","킹스맨: 시크릿 에이전트",10,"2015-02-24","10.0B급 영화의 경계선을 묘하게 타서... 재미남..ㅎㅎㅎㅎ                    "
"5712","더 테러 라이브",10,"2013-09-05","10.0한순간도 긴장의 끈을 놓을수가 없네요. 무척 재밌게 봤습니다. 강추추가하자면 영화의 끝부분은 꼭 주의깊게 보고!!! 들으시길!!! 특히 마지막장면은 하정우의 눈과함께 창가쪽도 유심히 보시길 바랍니다                     "
"3499","몬스터",7,"2014-04-14","7.0재미는있다...근데 뭔가가 부족한 느낌이다..                    "
"316","실버라이닝 플레이북",10,"2013-02-21","10.0쓰레기 봉지를 둘러쓰고 운동하는 모습에서는 정말 친구랑 빵빵터져서 웃느라 정신을 못차렸음ㅋㅋ                    "
"5861","관상",10,"2013-09-16","10.0간만에 영화평을 합니다. 정말 재미있게 봤습니다. 아이들은 조금 어려울 수 있었든 듯.중학생 아이는 재미있었답니다. 다른 주연이야 연기 알고 있었습니다. 허나, 조정석이랑 이종석 연기가 전혀 뒤지지 않아 보였고, 이정재 연기. 정말 팬이 될것 같습니다. 마지막 뒤통수를 때릴만한 감동이 없었던 게 조금 아쉬움~!*^^                    "
"2587","역린",10,"2014-05-02","10.0영.정조 대 사건, 아니 영정조대에 붕당파만 알아도 재밌게 볼 영화^^                    "
